text,target
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1.0
"['hey', 'jame', 'odd', ':/', 'pleas', 'call', 'contact', 'centr', 'abl', 'assist', ':)', 'mani', 'thank']",1.0
"['listen', 'last', 'night', ':)', 'bleed', 'amaz', 'track', 'scotland']",1.0
"['congrat', ':)']",1.0
"['yeaaah', 'yipppi', 'accnt', 'verifi', 'rqst', 'succeed', 'got', 'blue', 'tick', 'mark', 'fb', 'profil', ':)', 'day']",1.0
"['one', 'irresist', ':)', 'flipkartfashionfriday']",1.0
"['like', 'keep', 'love', 'custom', 'wait', 'long', 'hope', 'enjoy', 'happi', 'friday', 'lwwf', ':)']",1.0
"['second', 'thought', '’', 'enough', 'time', 'dd', ':)', 'new', 'short', 'enter', 'system', 'sheep', 'must', 'buy']",1.0
"['jgh', 'go', 'bayan', ':d', 'bye']",1.0
"['act', 'mischiev', 'call', 'etl', 'layer', 'in-hous', 'wareh', 'app', 'katamari', 'well', '…', 'name', 'impli', ':p']",1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1.0
"['love', 'big', '...', 'juici', '...', 'selfi', ':)']",1.0
['follow'],1.0
"['perfect', 'alreadi', 'know', ""what'"", 'wait', ':)']",1.0
"['great', 'new', 'opportun', 'junior', 'triathlet', 'age', 'gatorad', 'seri', 'get', 'entri', ':)']",1.0
"['lay', 'greet', 'card', 'rang', 'print', 'today', 'love', 'job', ':-)']",1.0
"[""friend'"", 'lunch', '...', 'yummm', ':)', 'nostalgia', 'tb', 'ku']",1.0
"['id', 'conflict', 'thank', 'help', ':d', ""here'"", 'screenshot', 'work']",1.0
"['hi', 'liv', ':)']",1.0
"['hello', 'need', 'know', 'someth', 'u', 'fm', 'twitter', '—', 'sure', 'thing', ':)', 'dm', 'x']",1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1.0
"[""i'v"", 'heard', 'four', 'season', 'pretti', 'dope', 'penthous', 'obv', 'gobigorgohom', 'fun', ""y'all"", ':)']",1.0
"['yeah', 'suppos', 'lol', 'chat', 'bit', 'x', ':)']",1.0
"['hello', ':)', 'get', 'youth', 'job', 'opportun', 'follow']",1.0
"[':)', 'seen', 'year']",1.0
"['thank', ':-)']",1.0
"['hope', 'rest', 'night', 'goe', 'quickli', '...', 'bed', '...', 'got', 'music', 'fix', 'time', 'dream', ':)']",1.0
